x,y
197279,149225
271930,227924
119552,481955
235048,278306
392295,137715
241593,126996
140159,200035
470359,181051
433055,181938
70892,56815
308477,409149
265319,79210
486912,103728
115035,21215
454196,100681
401574,127418
62391,199141
348206,477430
479280,157993
224327,202933
453983,416399
173970,38751
29071,213611
60544,6201
55272,48057
100916,397793
486338,302469
254310,344165
172563,337783
481827,299933
134889,390009
353682,262603
148916,132934
445938,41325
31962,350832
8703,474940
49102,289614
352339,1893
344795,330753
392264,451458
91066,252193
67740,405588
251715,105288
358638,360446
487935,383067
258757,36161
432572,340273
223888,34768
213658,465441
346856,341839
196355,492
38993,135245
25432,262916
335711,428379
1478,36984
280598,194408
404471,376989
243274,275898
306468,46778
78276,271083
343432,386000
261190,143838
254416,143620
477509,308700
251759,182123
419285,160496
447342,195089
162148,40251
421505,217893
422332,311188
258804,276868
344044,21280
475108,202721
146592,117674
358314,7694
180204,129247
66002,193162
83656,182568
145482,356167
445173,250629
437301,320406
11486,5123
473152,13618
265881,3257
36748,328454
284973,58917
255082,80315
412846,352670
477797,406465
221091,492373
494936,218073
157417,483437
342368,232222
43920,305940
305484,307790
276131,255549
457266,414904
380773,433244
136411,174084
274935,190013
215966,50969
348534,349569
345035,236911
28161,184342
289949,381586
287512,117009
134738,196591
468960,227979
329271,108702
93091,165365
183068,398156
418740,127834
431592,384804
171312,475568
480869,375962
315616,26585
171739,103060
331643,310780
320603,374581
192136,233979
325169,386662
14657,169010
24989,91651
129844,147435
156187,356640
260643,125728
405758,406358
91947,175182
161179,203374
296865,368690
9249,415305
3032,181507
53863,97994
14208,268299
34558,422752
192488,339491
65702,412851
198692,254858
365660,231434
261865,226338
62352,437783
343477,191272
352820,464768
349357,268430
429297,58699
470334,2358
186644,461477
190948,191053
203878,184079
185321,337249
456185,463493
227045,145025
150013,347980
462020,398800
398899,304600
330789,22021
8025,394679
417310,325057
145572,399325
248765,314702
278092,312877
105545,126897
469761,57473
213512,60684
460411,290615
333466,369075
417199,81624
37378,54888
142877,391781
326148,228021
124198,37376
426185,466278
305596,252308
222912,11360
198833,299459
385344,467490
174993,387050
447592,275190
257932,429042
122311,75028
149611,427894
727,19252
420548,4684
326051,24237
213417,186098
171434,259663
28250,50359
243996,99322
339387,24547
358337,146232
157120,438083
193817,397246
235972,10293
428254,444826
255513,419276
300837,116729
338970,44704
346596,56216
188509,323638
346477,3205
159172,163528
152568,253490
440498,309808
29984,379732
256250,469174
231523,285470
6451,339476
81581,397013
371401,345282
299022,462096
272397,182946
205095,46671
47308,488938
392133,176596
240956,356266
96516,217794
256371,389017
386484,248144
354322,127841
291321,214122
212159,29475
498764,8165
489136,409800
330815,417757
357955,494181
54622,286029
50379,169833
47025,289289
348964,492999
22782,274235
114824,287515
233739,300441
423514,260155
63297,179424
455679,306171
485420,259023
138636,40733
100031,382946
210523,470227
282484,389672
480279,430354
150481,183588
315063,187925
326086,332093
336040,278667
155187,117410
211842,370782
127143,446654
292924,396641
58595,84019
470204,361461
444188,409783
16134,394392
345567,402632
499670,499882
322031,120364
33289,212189
379883,90185
49845,386425
81643,462974
72954,137706
97256,365372
271120,291687
97819,182949
30207,372095
288893,483391
430349,377857
259182,398165
298065,245096
181106,21579
76455,248673
261429,397243
377885,188155
61423,308657
413674,236874
428099,19839
425406,246392
72225,205662
470005,239945
328780,128162
159781,69641
35733,304056
48406,424788
369478,305886
129201,93633
373531,243199
439889,27244
277642,183147
373654,33023
98723,213679
348185,450428
180019,165461
169082,308618
99491,199931
149781,160089
447389,137128
491155,59699
78350,43409
124028,69249
290311,39687
345546,265592
391517,244762
383000,399518
410961,450766
414042,128157
105162,105336
426727,491362
358110,387221
267088,63730
375920,217831
136948,95819
276947,215725
149388,307218
376748,357502
123042,35102
299157,238690
350335,478495
321086,68717
23265,117772
201519,273817
207691,371081
466280,273790
261942,330513
317897,456657
263622,41190
481229,210231
254743,196850
228177,252868
173590,64632
432531,459764
45484,424156
393397,241412
58933,124780
378017,351310
312431,264074
140391,426208
293070,394519
32609,376632
253356,474813
275607,81214
297310,196313
263710,488734
315777,499267
441628,327648
268659,225083
216487,474374
291967,18866
303531,337889
350672,339474
406122,134064
431078,363179
487805,156183
315622,67547
233817,478264
426220,187705
276877,499440
345244,309183
402856,344528
452087,237553
422807,111414
92360,148782
388396,51528
73981,244914
483642,163213
138643,54789
135901,179848
391499,87332
275126,230097
407385,471626
225172,369266
446843,420250
242543,268379
103046,264652
201389,124482
328187,397426
157159,214171
97529,15045
452774,453711
338892,199057
484455,425244
348324,470233
298238,371817
459904,334409
157590,405892
361833,224150
86134,162266
392699,482164
440895,157939
448446,128212
37843,342791
207891,365751
21552,495105
138538,180180
206841,403854
451440,238754
140117,175618
481445,124099
498481,165992
205196,159597
179744,307011
492955,178773
469507,53317
149970,456250
471620,8523
171721,439436
97596,455540
469538,321271
175605,128125
387614,11984
238889,355450
111947,251514
55817,414930
252219,69781
60026,159416
383408,335141
31897,193313
289555,456890
368127,392487
16804,303713
159840,310105
256939,62918
215405,432444
327821,238756
429402,386243
162586,328203
202522,139014
194563,486029
138054,339330
177994,415109
497468,483021
14130,410788
464548,99732
139316,3065
266702,387251
466707,229213
59959,211856
381000,60568
430987,377044
118487,52211
378468,180967
64482,148091
477776,465095
338556,415854
213169,355876
209557,450150
475614,104412
325300,255135
226534,420974
446212,357159
345780,245917
199429,236801
320559,269571
45251,121397
368665,378671
355044,496920
162295,484060
412090,211443
271631,238224
345176,328402
302989,239310
463042,458156
28865,324536
242813,293898
415874,331268
268613,417686
299798,290329
188445,380194
60969,189063
392193,176177
101146,76385
152120,126886
490134,357144
133541,261671
105404,292821
376637,446477
456031,73938
393363,278507
135658,102517
313902,98265
83261,150154
383452,19996
43734,106717
130400,383795
354187,209233
72998,422432
468180,356575
51640,445714
94117,478126
324041,498251
78009,21803
42414,127955
235818,304229
20204,36440
36925,221544
289805,104767
264603,108724
371085,456620
17497,149466
374800,310889
443481,415699
430934,17943
330281,213468
264710,261935
178570,128305
407784,424019
228683,263621
205903,163415
264755,103227
275411,26661
24062,233861
11389,446865
488223,463798
77147,312441
362563,301286
255667,37176
212502,439394
235605,348105
277343,325069
152809,108722
280294,290775
286151,296436
110166,196471
112997,331789
425118,382376
190347,378216
421873,197758
388642,123714
21805,45252
193227,258394
359865,98868
354381,484052
389095,373138
4166,265577
321369,324709
239138,35215
461536,242194
188201,473697
281471,458230
404531,226923
115598,488352
286423,356884
442906,193674
412065,411463
463178,233042
83713,110912
141821,104249
197184,10064
2607,105879
184046,50957
462330,140856
491991,216953
12025,108695
121908,413869
256392,191798
368893,54723
197671,221175
452764,334365
416638,230394
78045,177140
489082,171156
296865,431680
67508,236008
498354,13057
42195,440324
275473,263976
336264,212411
474763,117798
32760,62330
282410,487118
306198,45097
496743,266633
432110,424865
265406,493111
259231,381316
395194,287900
193056,140189
436527,327727
486435,82645
92742,403066
286870,95535
282803,315726
138374,141441
496898,470951
430750,350831
159120,22712
119950,351206
423062,402066
138023,383025
473504,230646
334498,212700
304668,53685
286976,117795
456430,308159
181804,159445
61152,40624
49117,41963
138359,13172
144728,221407
451617,213363
393618,131434
296074,136413
417106,328542
89549,28786
374741,368733
361671,217774
104491,89140
165096,183472
22527,285176
76771,373958
136981,327387
159557,258391
426731,74283
487778,242924
172482,33640
154571,304636
209750,7199
456795,243602
319656,42951
278001,228733
280829,417591
312024,238036
122239,189283
216897,291300
107137,434033
459858,82647
46848,426620
195864,184675
17285,347492
398808,160012
344360,272144
65508,499319
19246,285634
24169,418188
340050,373493
445796,247206
17698,402261
242356,33883
379520,382394
496747,481283
143625,368611
57087,460486
5203,186443
324989,166631
124463,167147
464317,450503
20589,234764
249232,454647
41247,250502
1046,486302
14198,125658
334252,220194
239529,84873
162274,113975
398676,445999
394955,384289
64316,28320
264045,324136
149616,349853
405945,175223
394316,128402
394165,262641
35095,428207
350388,357073
182988,394305
484231,285916
84854,279117
460844,483301
364021,134440
252613,485436
228509,464502
483108,257268
268733,105469
132482,351727
351517,123653
64655,80937
57856,140014
305059,499262
353865,19310
422003,367897
43482,147589
370015,292058
493592,317471
302537,491522
173227,203910
415648,265470
233281,150626
50042,230446
141297,79790
37568,308689
314685,212311
449603,9359
54512,166323
130092,474946
397319,203932
38929,5922
380685,248808
388,22412
292351,176198
444741,320622
313326,292343
397656,414161
236738,380551
6193,437316
207195,133606
271212,326753
431539,226440
225913,116574
147456,435957
357076,287282
6869,69261
346803,45441
456936,496540
89848,497830
445326,387062
405030,328412
157187,183087
13073,166762
426534,119161
414510,210729
282720,402043
123369,354067
302565,289483
82390,362665
17907,401224
108575,101920
173591,308342
26715,73258
396944,125910
43840,228509
50443,144481
357072,364930
435053,314242
195726,152572
179087,58989
275284,439762
231075,185632
471165,223899
127990,371860
189565,221381
449422,33408
197904,249858
427442,395306
15536,289968
309576,149130
8736,222371
303993,248254
45669,77106
391537,143364
364245,262362
112131,149271
150119,312819
163593,47016
257898,378093
262601,356024
56242,453318
294932,64976
92236,42283
439528,259998
223699,404872
471253,303884
476955,421006
97436,435518
265547,278688
128978,329992
467368,55226
41349,305994
474412,172447
344534,304649
28917,192765
191876,378027
353401,217151
131881,306062
220855,44815
366686,178021
8650,193382
371258,302320
460119,304977
275607,458263
302309,110881
378997,92292
457900,126544
181048,142874
94501,403563
443181,377877
308322,442400
56778,399999
169303,293445
265523,153132
304981,52962
327352,389107
194808,344285
171483,465866
266390,230464
396272,213597
469847,6601
172990,332458
397508,335502
347042,154396
91449,351626
5874,110785
97940,415241
132575,10090
133839,162860
224083,73824
352874,477913
87034,349149
202017,207874
109854,464430
394909,115152
363658,37795
273446,478156
310000,387183
441110,42793
190982,132355
329481,257874
324394,431074
233488,118028
487143,420608
104901,196935
347376,218556
421785,466246
54953,177847
334985,464744
252772,457775
436304,290035
497929,36765
103925,470173
174479,30536
50212,338678
84071,1763
340123,273557
40633,438634
232187,181085
348006,340788
174942,170571
220107,155477
398023,397279
310407,223667
213909,309925
338420,455747
237458,184127
298769,194752
410312,176209
14944,150951
36787,35944
64939,194033
251122,442183
49506,296462
112022,270992
377791,416954
141437,354380
133227,101375
494808,196087
456665,487943
251624,410507
289200,417148
441544,158727
390182,306879
1668,165883
359943,246049
303399,300403
273365,233857
214578,375229
203562,247490
169768,301721
76664,47303
493766,43197
118898,324974
448112,426050
135395,404647
370055,362254
429500,214640
308662,239999
126700,418862
23660,426640
123847,444394
413860,95339
160745,150789
347167,183275
266772,204825
312404,120653
44116,345838
233181,66355
284580,46198
234067,229780
205098,208230
148724,485123
290845,272881
477152,1115
184583,8802
188196,85220
186437,459542
7309,181732
39243,186291
136862,280485
300836,49673
151069,460350
400439,464580
111079,283169
335206,40523
98820,98625
243600,59032
392437,101406
236822,39988
456458,162831
10651,496270
423088,289034
211364,472920
281191,448787
358623,276415
443506,444510
169856,84421
279240,348866
100262,466812
494695,27485
378108,141185
109960,376094
51035,207698
483853,218195
93644,148589
77015,170671
157996,353223
291125,21975
487465,63462
111990,267530
1641,428060
269663,102571
461161,78944
395193,367564
405763,156714
373121,37433
416041,60939
487683,286078
107693,80679
122529,78005
51427,41008
171692,212560
44734,264224
198358,210943
329079,17011
499582,174719
241709,289118
370602,20128
171686,4784
477875,367472
202899,460035
72506,399657
122961,95327
424824,449716
434252,208524
61428,146425
218270,104177
165197,262117
132341,404846
420855,250453
277203,68018
231107,243333
104655,46778
3734,166672
130616,427943
225307,385987
460954,244794
258741,347938
242489,47375
301101,139638
439578,189716
970,49682
281538,252324
493150,209569
298101,400196
2428,317967
228832,266296
499272,70800
490867,215939
435431,467760
334758,475098
340726,169271
100508,94916
354998,272504
399941,99216
255396,375671
318077,13651
62311,285718
485458,264669
380067,354810
372419,368918
340010,90942
187267,112538
462194,2868
250589,124974
365282,201459
454770,23837
335973,411362
86493,187412
41089,354815
471640,437847
152258,290636
123927,337406
450864,114102
101458,309263
381599,86180
386593,16505
189060,221913
234943,204426
84709,89669
388785,242542
264329,379150
221408,48068
133583,419095
151682,73439
36859,27498
269686,262390
102667,1127
123790,137992
231751,490537
198471,352656
400151,339633
223828,461248
487439,329746
12761,445853
143237,81208
321267,299863
359682,205333
80757,458531
496791,206313
6893,399383
369287,190574
480229,143618
166434,470398
391813,465573
181043,327361
487733,239346
382991,309046
209632,93151
337677,118109
291125,70503
142933,433023
276743,254046
16753,21787
114996,392814
480256,432143
83523,358867
136201,23902
253670,134159
157933,39747
388767,294186
248917,249587
451199,91658
26442,436904
105450,51019
487588,75536
292758,212188
463802,56944
135665,497814
120696,396150
297570,238841
257775,154074
295496,257732
90182,88624
113792,312721
198862,484716
28770,218699
278483,127890
11754,493869
195278,123418
394516,346968
51031,302685
443712,436720
190168,245534
13110,410291
51709,498615
79299,238680
52456,104991
268129,440768
300833,188341
51508,79003
308938,158028
262833,183867
156656,270643
487033,382285
250077,232384
52707,125465
432683,388504
310744,140662
447091,357981
229400,203242
479651,384693
112666,374878
362126,219603
119120,445883
88190,453892
355785,317219
259972,124632
388368,477870
286096,196682
150449,350399
155196,266414
160668,455330
270946,495351
195810,58788
272975,32514
90172,42959
383343,484322
486924,157249
368967,119400
255515,307432
67201,40687
145537,441116
578,30658
88098,356056
440152,116171
461366,29175
76463,453368
435521,305319
52162,378540
269761,89357
401007,356479
472423,16661
372835,333523
101372,372051
95317,477844
190084,250523
430639,180459
269504,127737
327910,350016
211277,331054
53323,106665
435178,366056
46905,436755
71160,134429
448623,163915
297754,146340
305720,448490
285403,374544
89189,192283
353230,166217
178301,147850
308273,436361
424843,427339
210891,112560
48277,332196
120788,207556
296621,431864
362420,191688
334784,279217
161635,51320
302091,125257
51024,460286
27566,465525
172093,99989
152505,372271
208968,77624
37795,398430
219972,147621
449433,78468
458085,75251
48307,442180
413371,250765
55746,457454
373430,440074
281542,266216
171496,137514
438684,88890
244968,406128
262613,71158
134578,239063
474881,450787
475755,351346
65098,266469
127267,73923
349854,370698
445555,54103
256867,436147
205734,34109
341327,340445
48276,287265
293008,391979
234505,339722
309125,468946
196293,83404
197552,443200
432700,58186
236099,47370
423677,381836
172247,34001
129840,357464
30108,335472
297305,65552
435787,461989
228377,420616
471159,282905
372243,459843
464033,96590
433900,58633
460363,364420
392012,136007
207940,464488
292161,26499
224226,248281
140770,244858
9198,418744
160817,467671
45753,27916
320378,121554
8493,213870
485304,354372
200862,10136
56695,282050
160159,430629
231156,192381
201745,237829
408320,291637
301749,231072
484003,44629
208131,446468
271518,388047
361779,144845
278505,172501
49785,266927
104698,50161
201102,160643
237799,154818
224649,362284
483491,187060
396236,127557
154276,72698
315130,302825
224966,9962
262631,112734
213544,79925
387496,231294
488179,91105
315626,70276
170331,387813
284190,265840
85534,230305
90610,459127
168554,170200
493690,159466
253148,237963
24909,381632
471074,126803
263341,297187
275041,30362
234718,98196
331634,417270
194871,389980
263816,339331
166294,14577
414573,205148
424398,437601
97834,466262
145404,179613
173637,401145
437304,16805
3717,161948
352870,435468
171025,62812
40651,161000
86486,364856
392669,274424
322663,496236
256980,360690
443551,81256
415485,479720
117794,117709
403980,426998
327777,472547
25713,428811
465628,65146
99844,31090
382466,426907
34267,291356
366709,362633
21626,453035
479144,305082
69609,90621
262058,216652
208065,346387
133884,465030
144256,398365
113854,71916
157661,301061
354312,449438
392725,186900
255540,33070
98660,31812
43001,347580
293775,412100
36529,53103
386589,254081
369884,325394
68422,190903
419710,297801
97092,249524
373892,328079
488710,95365
104036,184462
344580,80960
153314,121753
173868,74733
