views	likes
231491	13573
2029829	9322
218737	7709
423355	1578
1577521	15755
632914	41800
672764	22325
29113	446
222243	6534
193629	7423
354749	15633
10516	389
1004809	0
313377	2728
274026	6213
291062	2083
337492	12861
153646	13438
99723	1664
2797467	148525
726328	30812
212112	5245
501107	66478
39354	5941
86342	636
747529	2920
202373	4483
836	110
703631	15716
514924	13922
3280361	12863
1461658	6136
37225	9
461908	1567
299761	8689
154980	534
506934	38717
581881	26824
340103	15808
2952	26
163980	8650
1923973	138077
68206	1025
308429	996
75341	3762
1891954	86481
207117	2869
8267	363
185706	4970
410442	2386
575451	2473
242382	19934
619606	4883
87544	0
1604469	22075
410390	2395
75193	724
426783	16242
418595	4023
197535	5158
120900	2152
289862	1267
2962946	292527
30470	131
619920	7604
101597	3050
114933	511
478206	16534
105060	323
180342	1779
425252	24521
2647746	193092
33945	2096
325569	12404
86277	634
654378	3377
561583	4171
812479	17098
59491	4470
83321	719
101088	3754
29999	1602
2794	17
2597587	83723
601989	33903
936865	20887
215200	2090
278943	10248
204852	843
41695	2217
149107	4181
131160	5939
1347495	33751
142707	2815
317620	2215
778605	17262
249413	4204
283969	16131
1992282	10103
144002	6047
62306	374
729603	40962
123281	4346
1875686	118922
2638137	91307
69110	282
26718	653
837867	36675
128405	2313
271491	962
125958	3144
5889680	458893
2111	115
46672	4831
53441	307
768171	0
376566	1466
403593	8649
120278	2598
64196	392
156462	11880
72945	355
739774	4372
467751	34961
216416	3578
553887	18923
198718	2028
184690	8180
446729	8438
7914	4
70748	606
14478580	332272
1326266	12282
1609627	22942
3914524	218328
1136686	12260
1145941	15400
5617078	328517
892555	44085
764099	41192
1553996	56447
693291	51844
2206768	24283
993699	11257
798010	43453
13987067	137904
578128	5705
458899	42684
2563022	73910
118	32
2653677	208706
2314066	22064
453228	16036
623222	27803
219726	1066
2724124	69404
47078714	1763398
901202	41793
388590	3149
1257634	6971
2610053	85307
327936	11643
1214852	14416
789527	23129
27623	249
45	18
494138	22089
113756	9810
771332	84031
438792	17098
311116	53818
64800	630
2032801	116459
1967661	107404
582841	26750
225299	2894
619941	3782
353570	20145
9964832	196513
2278512	30365
211515	805
10003191	114960
211987	10150
6191109	164265
1959305	95081
325741	1686
1751244	20010
455289	14026
117978	1284
333807	1154
588418	19218
458593	5911
3867178	432418
1645731	61560
97929	4063
2210421	146431
223916	1490
89	40
269526	6222
11218307	216489
452158	55766
809452	25808
1367664	84460
487894	12963
1056220	8709
149205	2621
692772	4998
912643	47845
169111	5171
269184	23209
248198	3686
13786	87
372127	17272
151534	911
484135	11671
39002	2236
211081	20111
638074	32480
435032	9944
569124	16053
1054338	14953
196911	666
52747	199
126961	1019
12686	1057
615664	4113
7388662	607099
188012	3429
11362593	311332
882730	8635
58919	912
375616	3914
171686	583
938926	59101
436937	1286
1113747	45238
1757756	98822
382916	10833
376740	10277
291413	695
4200368	408291
172316	1412
55330	522
107140	357
570276	21538
123251	3601
606692	11564
451973	16366
65172	437
420149	2330
38200	331
329429	17104
277350	4079
614817	16542
159988	1903
224651	10504
1628016	38511
30330	434
182695	2647
441753	4539
1137277	44392
266239	8064
147891	2153
2448	166
8490	366
73129	3369
276007	16739
32	7
1791666	126312
922	125
167366	375
60371	2651
1835818	93066
788390	25856
230718	1592
303544	2081
740800	29331
1730	25
193956	4852
53379	867
7440	327
57022	316
276510	9149
859829	5574
2043146	36153
158766	5793
169232	1235
1964034	106397
150215	15234
58497	1370
79247	0
55086	7315
454173	3537
154964	1394
269061	6410
464220	27286
3460999	161692
387566	6851
5181	194
4328193	14934
85619	369
404383	2613
1197269	0
50820	269
139860	11811
368946	7658
118969	0
233310	2796
329856	6924
646913	1967
37661	545
1073485	29937
235654	4145
666	1039
413638	16973
91997	6425
270226	11326
24478	146
111075	808
177731	697
157711	839
26710	572
2304099	10084
213574	5180
682650	44135
1587706	88440
66326	6803
455	42
2484089	150573
17613871	369520
8839267	395070
1043215	33389
1902516	15189
852717	27913
1819783	17552
1902537	25343
890279	54503
1627849	20223
770692	72020
918567	27054
37007	473
1345479	58772
1018415	13741
1834104	19301
475938	5536
167	23
308259	1294
428069	8116
723917	19584
5979360	338607
847794	25569
2424917	51774
1053325	9973
183935	7939
1852073	66515
1002132	16444
433105	9050
272316	8858
578050	4483
893783	62180
4509454	114590
421279	11447
328956	3742
643778	49283
2051979	44906
530364	24862
1696299	59250
3070103	222200
188779	13273
428452	2838
2375319	25043
57	27
450569	3124
1716171	144873
154261	9078
359967	9656
702850	25835
530628	17691
77340	3471
290800	20546
1122844	33175
349779	1923
249255	7921
1742272	8664
16829	510
689014	1552
36044	299
728343	23027
2682799	76081
220173	1967
129738	4032
347200	25930
240168	7491
181794	180
449077	32360
91	34
611573	119905
550813	49328
1542768	17335
77848	791
154089	2496
106512	893
190850	11066
522265	25431
87360	1262
2915115	72217
530152	43428
612098	25114
114917	8946
2355918	22232
252590	12885
29720	480
850117	36676
784926	31510
534109	20814
148005	523
296589	1984
589119	2450
1670899	6511
497766	7520
193082	2387
587028	15386
76832	3373
121277	7102
660670	7603
907902	37539
679202	5867
15940901	149364
320740	5092
749817	3897
406955	12731
355773	18468
15104666	143947
205878	3665
1016440	39118
7097427	525899
1161029	45949
223827	3397
56843038	1904853
282886	1314
391033	3320
54292	306
219731	11771
49423	3043
8072	336
196680	13680
2112730	112345
160530	9556
15398	363
155234	1522
2246582	123235
318670	2202
56930	493
6334	58
998737	8633
55309	214
556200	123810
134189	4305
126548	4613
196938	2529
127862	10501
747273	74453
136144	11150
1834	50
186476	7888
1188783	4411
154106	1908
2427443	31322
63344	1075
48507	269
1227681	7142
45754	2329
66546	643
270142	12507
371	257
20825	503
171563	1096
589708	64202
2100341	99172
54593	434
4146637	443534
111471	2847
100721	4234
96872	6447
1221292	56600
340859	4093
69740	674
198398	3511
385190	3892
21331	453
301070	25353
10353797	201223
1739935	63109
269590	1759
81873	4420
672153	5138
7228499	177523
2351153	151042
314413	6684
52038	631
627823	4166
257863	2522
79163	681
401271	561
125491	845
867145	27184
606262	10598
9044077	642004
1525396	89326
682599	19487
389099	13593
897452	7957
472499	18385
509606	7424
33867	180
99336	5052
378704	3442
87899	7136
23972	1213
124847	2692
95734	312
292570	2078
619309	10941
8952634	360340
6119211	271967
7558742	549729
2516904	203433
1387331	78293
1980168	77377
10552150	438807
19999878	395711
1013330	29712
1586719	43567
684622	40850
1382432	16481
68651	951
1063140	85894
349459	9016
1134859	21876
396453	12276
927209	10977
1166816	94354
236512	16877
1163659	33468
652313	18506
2132668	16577
193583	20156
2016633	19258
106	23
1273343	32935
522525	55422
1623141	30437
1984712	26021
1803225	21804
369609	23963
735600	9036
1454579	61912
2248003	22616
621739	3859
355281	19393
44	12
1685189	39386
684778	62970
622518	7270
230335	4709
38406	889
301636	1616
195383	8494
1595875	2305
685370	61109
2737810	55656
233969	5414
269447	9814
86574	4423
1709054	106756
1018150	28258
158220	3034
889870	50400
1154618	10487
145027	535
589827	11839
97381	580
754179	17514
1470663	216223
77884	7126
5917303	132787
1097806	7771
532968	16518
146603	1286
275241	17469
198287	2156
393786	2454
434759	6946
757993	32721
519369	24991
64583	759
881373	58820
343344	11556
6176066	344502
14289	106
153860	5366
259925	12871
2399289	48182
793477	53281
184132	6364
133590	5598
157335	624
665962	5104
145	62
949238	64785
533787	3634
511224	12478
245610	9004
250729	14297
3460772	232830
1139104	34514
207225	1530
278341	13432
238587	2327
283170	22397
10301	932
53347	552
677210	35137
34641	5693
559037	2666
881123	34619
288178	12505
216500	11573
138730	13752
682632	15015
2132690	163040
780009	42232
389390	1453
556623	4301
760	122
1832911	61943
28904	1356
196476	5281
162026	7355
399511	24848
311335	1303
1465521	42044
174227	1242
6988	312
329176	8905
230287	2968
116843	575
966732	31896
270247	38048
305106	15874
797181	62277
30360	3236
19572	121
95	50
947466	38752
718255	40206
199317	13194
66040	3227
359421	1706
941	79
526133	6855
174916	1729
2437554	70432
196552	12249
1857727	9105
605722	54921
40820	336
842897	24584
227720	225
448	312
151739	8015
630362	34795
96440	2909
109936	5363
6256	149
324149	2145
91973	221
555995	18233
619503	27379
41217	265
271583	2196
19711	22
50603	1162
236863	2515
634698	8581
382246	5204
341849	14857
381939	26864
9004469	575916
456364	24211
236373	12346
1130583	42018
1317168	49163
1037399	7807
92109	249
129882	9120
1834412	19878
275165	11136
312817	14422
28885	1834
64818	250
1131052	9276
717	38
288515	4419
1311107	19190
119664	7252
496264	22990
374886	2560
24276	557
747584	2832
124670	396
485164	2331
259918	9228
670964	26471
267207	13544
94849	4087
23672	270
10311506	388864
3765990	116999
11202281	686142
5901092	318441
8464537	327503
748262	66082
1294899	139600
1261475	16919
1462241	58253
2053175	30496
1063072	53757
1314531	100877
636464	17862
1333050	8602
942454	13685
400918	14836
1259722	3353
940179	22067
11474521	457989
1861361	47240
621322	95054
504028	27250
107	32
411462	14196
86944	1235
536616	18691
1662312	112532
281951	26005
483170	23792
614170	33442
668208	13504
176586	27951
859795	37391
842228	23625
312362	8011
119886	500
1481114	87125
1962563	3208
1061604	22399
2192934	35229
194851	1222
620555	3397
1257735	35124
4455	195
234901	4246
303113	10771
1159783	15667
22118673	410051
528571	64666
1190081	10587
1556203	36243
11408	103
214381	1295
142201	642
2126260	20150
2283526	17550
144407	2279
145958	6134
265611	5243
270001	25777
80504	258
99224	1713
396609	13028
687321	21480
1292754	96123
350853	20976
47648	1047
267576	24095
2021002	26338
82580	2766
20436	29
1921050	22530
152681	520
28445	1531
1233414	27490
59542	282
163430	14661
358798	5193
56	21
2487987	24233
2535833	49279
1296867	98135
516090	19525
548977	36439
1606780	75870
1883936	42216
1484930	62970
100239	358
2126764	117805
11	6
416381	1833
43889	3117
2910944	14540
286319	7977
2996520	58383
101576	4141
21	2
730939	8546
547499	15987
557586	63020
359198	1991
303586	1990
175805	1462
296440	9567
63945	1155
265055	8537
1209679	167298
486411	3751
113319	5605
2144473	61264
215895	2521
741081	19662
779255	6597
5371	164
160485	11449
914897	37346
90538	3693
118481	9548
617192	31921
140007	5251
966474	45634
7101199	146435
11527	545
278261	10641
337067	10474
322607	1035
510055	1638
106965	920
67299	1792
816085	18745
360275	3374
485416	19893
289999	10239
259537	12055
1117077	67021
1043214	10024
38956	2662
645491	13341
528687	18123
45967	6857
816847	61459
42105	2753
135872	3069
1614756	231544
455097	2771
202658	17045
41152	3011
7355	35
67638	4515
464829	18504
304800	10170
993147	44297
491980	17340
175116	4365
208486	1059
227978	1646
119177	5303
350159	11143
362837	2716
820103	34610
1165229	57834
904	188
80068	2481
17535	676
336769	17105
198969	2158
94359	6855
69082	667
970984	65733
908908	55788
33724	214
23758	1316
141398	6010
1030305	38495
78210	3361
1324190	37364
73181	2793
699934	3536
436195	23450
3783206	240532
281925	10110
106	55
733524	5552
133924	3251
104315	4450
521956	13084
950854	35258
426147	3486
100620	737
68659	350
110657	1575
140800	1516
247481	6318
38436	2718
15162291	789844
2693637	129050
4628861	129027
11307303	405861
8834904	386849
747488	39694
13945717	2055166
2618344	45197
1783347	111683
1841835	282508
1307637	95719
1841122	175431
10997222	375540
584350	22934
582180	9752
520171	15553
2131820	46914
1946746	119453
1534351	18893
796106	22438
1796164	65337
619446	18994
1784585	10139
1347634	16608
4649138	72158
488164	17410
872427	17326
687965	44019
1056699	23794
293676	38685
108418	12317
249262	5770
149	47
1135998	56291
109180	541
1140502	128767
72701	309
1015596	17683
119593	2001
604810	30199
599897	3328
874689	40472
708045	21985
156466	2499
31	5
107666	325
12355872	474027
2181405	49608
1603701	15658
997598	87961
277354	1461
99107	1374
2171491	103078
313897	27836
1547590	27711
1397518	88394
995498	40850
203778	944
255146	4429
872717	26717
542451	25545
621447	41148
1055546	30366
852070	49567
199348	2170
1273356	107088
353066	25990
2141376	3675
135488	553
417910	23382
20760	20
234521	1400
166736	7060
275855	23090
4628	209
88017	4271
2566376	38467
498664	4532
589520	13459
468644	27744
87326	3044
66476	25
284779	2616
114696	1297
154845	515
174749	3494
964101	57836
173138	4254
77839	2847
101257	13964
264189	19231
545220	12039
216957	5102
346567	1527
2911616	200586
24939458	529906
316981	12560
345252	1765
1541452	21065
23124	987
46538	1692
1210184	10652
355264	29257
54993	1125
347493	14709
517425	14921
91229	109
1322869	36043
115813	394
303530	1985
346478	7539
115633	396
363164	11859
43751	2831
103110	1344
1912	66
55061	1088
138091	581
452592	10872
26072307	421289
784361	7365
199971	21607
8659	267
1862249	38626
127185	7640
659371	27060
68443	2600
41	14
36912	1789
196689	5990
221510	9038
126519	1125
44212	205
363904	13119
36919	1224
421	12
550039	4018
1508862	106487
194221	14631
622450	2714
130172	2874
21900	701
94126	492
941900	24860
88732	4147
175358	7881
589009	36176
924135	5526
3074268	72522
313560	2612
53566	372
31016	1996
13379	147
2551558	127781
1068305	46091
163890	6603
96086	1908
70964	2772
3263	93
387962	5353
1954	38
1416537	11566
4265491	18676
908937	10267
2539701	163807
35640	467
105722	4652
112433	4031
3270754	61084
354741	34803
