low_col1,high_col1,low_col2,high_col2
134992,135062,124190,124272
92792,92862,81134,81216
142671,142741,97009,97091
99111,99181,84598,84680
149087,149157,141300,141382
156664,156734,136676,136758
102733,102803,140423,140505
150838,150908,77069,77151
143789,143859,111712,111794
140742,140812,146415,146497
149852,149922,96758,96840
133368,133438,102881,102963
152201,152271,124207,124289
148550,148620,94280,94362
112498,112568,147239,147321
157834,157904,107792,107874
154866,154936,90923,91005
99272,99342,127794,127876
131424,131494,77174,77256
105813,105883,72245,72327
117112,117182,119625,119707
147128,147198,98611,98693
138564,138634,128524,128606
155836,155906,85705,85787
148724,148794,140003,140085
101387,101457,102829,102911
93449,93519,138222,138304
127753,127823,137083,137165
110213,110283,106128,106210
92822,92892,79795,79877
116799,116869,92985,93067
104754,104824,142987,143069
155402,155472,125092,125174
109807,109877,70901,70983
127962,128032,93726,93808
100787,100857,68046,68128
96992,97062,101130,101212
150141,150211,112059,112141
128205,128275,86522,86604
125184,125254,114929,115011
107404,107474,105475,105557
160089,160159,133144,133226
124360,124430,126665,126747
96806,96876,100113,100195
150925,150995,112445,112527
125657,125727,87784,87866
160629,160699,110920,111002
157899,157969,88986,89068
144518,144588,82031,82113
131004,131074,114593,114675
90177,90247,118151,118233
155683,155753,107588,107670
136729,136799,147093,147175
106228,106298,131566,131648
113915,113985,104573,104655
159345,159415,102904,102986
148612,148682,150271,150353
141383,141453,132529,132611
121756,121826,121732,121814
150370,150440,73120,73202
97784,97854,78764,78846
150015,150085,134337,134419
116641,116711,68696,68778
110994,111064,89323,89405
100623,100693,76982,77064
113163,113233,105736,105818
96250,96320,139901,139983
137585,137655,91259,91341
133710,133780,69176,69258
111126,111196,114366,114448
139792,139862,106715,106797
152305,152375,86699,86781
144142,144212,94596,94678
117744,117814,81441,81523
131797,131867,94066,94148
147303,147373,107896,107978
126529,126599,68958,69040
125358,125428,87504,87586
124027,124097,139758,139840
116239,116309,92923,93005
144578,144648,83119,83201
133931,134001,72382,72464
98884,98954,71343,71425
119804,119874,123405,123487
147248,147318,80750,80832
114919,114989,109978,110060
132367,132437,119858,119940
128747,128817,147853,147935
151078,151148,133674,133756
117465,117535,91594,91676
123040,123110,150482,150564
157090,157160,104029,104111
112149,112219,102254,102336
110008,110078,129276,129358
111181,111251,97988,98070
103292,103362,139360,139442
107089,107159,120162,120244
127862,127932,120272,120354
142185,142255,136500,136582
108536,108606,109064,109146
113953,114023,74748,74830
100424,100494,78657,78739
110896,110966,91593,91675
155652,155722,97337,97419
98786,98856,114061,114143
150978,151048,99555,99637
122756,122826,94989,95071
94284,94354,87793,87875
137054,137124,105722,105804
144733,144803,124677,124759
124996,125066,150478,150560
116981,117051,101983,102065
134894,134964,73347,73429
145627,145697,117041,117123
159789,159859,118624,118706
154994,155064,125775,125857
113242,113312,124204,124286
127341,127411,68649,68731
151262,151332,95346,95428
97864,97934,129926,130008
113282,113352,71792,71874
152129,152199,87943,88025
96419,96489,140108,140190
135989,136059,88018,88100
107466,107536,143514,143596
98151,98221,68018,68100
89853,89923,108577,108659
137375,137445,96823,96905
102212,102282,86018,86100
149549,149619,77494,77576
140061,140131,91208,91290
112973,113043,136806,136888
100365,100435,72443,72525
121650,121720,120964,121046
102905,102975,124031,124113
128214,128284,102450,102532
134555,134625,121566,121648
106549,106619,124725,124807
111398,111468,137714,137796
127193,127263,113177,113259
125636,125706,74873,74955
103938,104008,125651,125733
151326,151396,110759,110841
139371,139441,99683,99765
126580,126650,110578,110660
113734,113804,105260,105342
132257,132327,121505,121587
108647,108717,87392,87474
104703,104773,111872,111954
90701,90771,107398,107480
126890,126960,121316,121398
148943,149013,148951,149033
154664,154734,146221,146303
96398,96468,123027,123109
96390,96460,93568,93650
112835,112905,129520,129602
142862,142932,124434,124516
131767,131837,137807,137889
159839,159909,119963,120045
132537,132607,107445,107527
144928,144998,87597,87679
144572,144642,141111,141193
103837,103907,73203,73285
159285,159355,104220,104302
101464,101534,112636,112718
95703,95773,84778,84860
113663,113733,148353,148435
161223,161293,73724,73806
101086,101156,90049,90131
113520,113590,125877,125959
130689,130759,101068,101150
159173,159243,143331,143413
118181,118251,78948,79030
113403,113473,124742,124824
126117,126187,90695,90777
129198,129268,84541,84623
108226,108296,119379,119461
113073,113143,90955,91037
99937,100007,90208,90290
94689,94759,110855,110937
99927,99997,123279,123361
108711,108781,120430,120512
93881,93951,131925,132007
148848,148918,147348,147430
139877,139947,67936,68018
89504,89574,76351,76433
118148,118218,141320,141402
157110,157180,111881,111963
106197,106267,72255,72337
104483,104553,72760,72842
94571,94641,85664,85746
145107,145177,106272,106354
156516,156586,102308,102390
125303,125373,113905,113987
127967,128037,77901,77983
90511,90581,118082,118164
95678,95748,124427,124509
137364,137434,72266,72348
93045,93115,73802,73884
97010,97080,141428,141510
116183,116253,74005,74087
115518,115588,147539,147621
102359,102429,141113,141195
112724,112794,139908,139990
149453,149523,130615,130697
144002,144072,116081,116163
123978,124048,143337,143419
106709,106779,71446,71528
117473,117543,126290,126372
116734,116804,69239,69321
160607,160677,139937,140019
116588,116658,144783,144865
145587,145657,143759,143841
103367,103437,95080,95162
102495,102565,92452,92534
93773,93843,143957,144039
98560,98630,105744,105826
105838,105908,109061,109143
118195,118265,67751,67833
102683,102753,121075,121157
90295,90365,78588,78670
135963,136033,74103,74185
119554,119624,109735,109817
153772,153842,125701,125783
138825,138895,113221,113303
126425,126495,135218,135300
131982,132052,69462,69544
91366,91436,88252,88334
121703,121773,114996,115078
109577,109647,127017,127099
154994,155064,149814,149896
99314,99384,69853,69935
129258,129328,72921,73003
123836,123906,76146,76228
90791,90861,130710,130792
108665,108735,147401,147483
116063,116133,103892,103974
131527,131597,79853,79935
89684,89754,110563,110645
156893,156963,76201,76283
160241,160311,133075,133157
94864,94934,103793,103875
133374,133444,73585,73667
97456,97526,109466,109548
148045,148115,98157,98239
104973,105043,86916,86998
113379,113449,67711,67793
110060,110130,84618,84700
103509,103579,150619,150701
132752,132822,126841,126923
118736,118806,107345,107427
101403,101473,140974,141056
160969,161039,86208,86290
98633,98703,86730,86812
157177,157247,101650,101732
100695,100765,113192,113274
107830,107900,104089,104171
93467,93537,78936,79018
156955,157025,108791,108873
144366,144436,92153,92235
146268,146338,148544,148626
160773,160843,73042,73124
148828,148898,92687,92769
98895,98965,68556,68638
140805,140875,78423,78505
156105,156175,111662,111744
153933,154003,99788,99870
91785,91855,135413,135495
108478,108548,126835,126917
121714,121784,111506,111588
135646,135716,122814,122896
113159,113229,97120,97202
153884,153954,108265,108347
109552,109622,132406,132488
103831,103901,71390,71472
110058,110128,84112,84194
129115,129185,143317,143399
160764,160834,145468,145550
103602,103672,143959,144041
102448,102518,122952,123034
90263,90333,143711,143793
91892,91962,143627,143709
106817,106887,82962,83044
146391,146461,94940,95022
129364,129434,104853,104935
154093,154163,127913,127995
142477,142547,67760,67842
141778,141848,95266,95348
154759,154829,122810,122892
133776,133846,136538,136620
93246,93316,115516,115598
103167,103237,102194,102276
111565,111635,103878,103960
91094,91164,115157,115239
108705,108775,120807,120889
126879,126949,106916,106998
152823,152893,135878,135960
101143,101213,123898,123980
146994,147064,106858,106940
102673,102743,108372,108454
114599,114669,131365,131447
139137,139207,141143,141225
98026,98096,75704,75786
98115,98185,125395,125477
125817,125887,74417,74499
131363,131433,138141,138223
156975,157045,138469,138551
135214,135284,87590,87672
135689,135759,104782,104864
94206,94276,86731,86813
99844,99914,83875,83957
117145,117215,138114,138196
135612,135682,87450,87532
139289,139359,120487,120569
114366,114436,89200,89282
152272,152342,88440,88522
91208,91278,109583,109665
91931,92001,92076,92158
123168,123238,125700,125782
91528,91598,70351,70433
149125,149195,95586,95668
131909,131979,140481,140563
107898,107968,101170,101252
153526,153596,105892,105974
137751,137821,96499,96581
96094,96164,105634,105716
116186,116256,79119,79201
128014,128084,93156,93238
154604,154674,122802,122884
141936,142006,79976,80058
130255,130325,116404,116486
142052,142122,149608,149690
115848,115918,148878,148960
144555,144625,98312,98394
152679,152749,141689,141771
145822,145892,99114,99196
158285,158355,139892,139974
129435,129505,91794,91876
154378,154448,141140,141222
124360,124430,99455,99537
149984,150054,79809,79891
144220,144290,133992,134074
106776,106846,114691,114773
95599,95669,72059,72141
105481,105551,69832,69914
149949,150019,121028,121110
109528,109598,103854,103936
131323,131393,81493,81575
139909,139979,99053,99135
98154,98224,110514,110596
112685,112755,82992,83074
104045,104115,101206,101288
90728,90798,130831,130913
151965,152035,74717,74799
107220,107290,97609,97691
135097,135167,115919,116001
108512,108582,135276,135358
127048,127118,119554,119636
117978,118048,103588,103670
117305,117375,70207,70289
124816,124886,128408,128490
113201,113271,122663,122745
107134,107204,119327,119409
145410,145480,144542,144624
145582,145652,128902,128984
127692,127762,125018,125100
121102,121172,94291,94373
129401,129471,89814,89896
91071,91141,116390,116472
130258,130328,84359,84441
150845,150915,118860,118942
118851,118921,71897,71979
136277,136347,115558,115640
148501,148571,79298,79380
125186,125256,97007,97089
125846,125916,106343,106425
150569,150639,86884,86966
110621,110691,79189,79271
142725,142795,125126,125208
142451,142521,139989,140071
114211,114281,78680,78762
118218,118288,120936,121018
112599,112669,135881,135963
94302,94372,89426,89508
148578,148648,142112,142194
156747,156817,99621,99703
105299,105369,79746,79828
113507,113577,113054,113136
128339,128409,133651,133733
136753,136823,100555,100637
90973,91043,82682,82764
124560,124630,105538,105620
144361,144431,101642,101724
89509,89579,142300,142382
144786,144856,80984,81066
113803,113873,112820,112902
117594,117664,101654,101736
110030,110100,90685,90767
140923,140993,137260,137342
96409,96479,103406,103488
110969,111039,117115,117197
125857,125927,124768,124850
109940,110010,68975,69057
134072,134142,67972,68054
160880,160950,79888,79970
141309,141379,78978,79060
91199,91269,122390,122472
157406,157476,125687,125769
160304,160374,83530,83612
145210,145280,130186,130268
117384,117454,105275,105357
119160,119230,137976,138058
101631,101701,123910,123992
108990,109060,149944,150026
134262,134332,104832,104914
98269,98339,91704,91786
159217,159287,78756,78838
131235,131305,74371,74453
125511,125581,121871,121953
141020,141090,93144,93226
108875,108945,104899,104981
107299,107369,133784,133866
141824,141894,103069,103151
146581,146651,146579,146661
92432,92502,88296,88378
112959,113029,145821,145903
130447,130517,124480,124562
96089,96159,112181,112263
144069,144139,82951,83033
97013,97083,94979,95061
141842,141912,133715,133797
118879,118949,143166,143248
117237,117307,116177,116259
103368,103438,136980,137062
129423,129493,84005,84087
134533,134603,97263,97345
140633,140703,129550,129632
151636,151706,80618,80700
122488,122558,126240,126322
100065,100135,117706,117788
114023,114093,71064,71146
102125,102195,78450,78532
122182,122252,69684,69766
123382,123452,92585,92667
121862,121932,102435,102517
145068,145138,100547,100629
130049,130119,125409,125491
124849,124919,72128,72210
132450,132520,134998,135080
134477,134547,105207,105289
90255,90325,124272,124354
119206,119276,102270,102352
137729,137799,91896,91978
151660,151730,122476,122558
146428,146498,149104,149186
127646,127716,109478,109560
154203,154273,101791,101873
129491,129561,129299,129381
116825,116895,123188,123270
103648,103718,149046,149128
140397,140467,141415,141497
155711,155781,114234,114316
151932,152002,85931,86013
119897,119967,93806,93888
132323,132393,75291,75373
114874,114944,94319,94401
114027,114097,96465,96547
97355,97425,129047,129129
143477,143547,74921,75003
123109,123179,143392,143474
149953,150023,127354,127436
124150,124220,85308,85390
113323,113393,111276,111358
154609,154679,85236,85318
115380,115450,96826,96908
135991,136061,110154,110236
154221,154291,126396,126478
139555,139625,148755,148837
115008,115078,101376,101458
159118,159188,147833,147915
111203,111273,71606,71688
160280,160350,109507,109589
99352,99422,70654,70736
131204,131274,113282,113364
98965,99035,70030,70112
108578,108648,69225,69307
100752,100822,98195,98277
161168,161238,74948,75030
109072,109142,135309,135391
154531,154601,100764,100846
141205,141275,93926,94008
158723,158793,70103,70185
143396,143466,90168,90250
153069,153139,116508,116590
139157,139227,142187,142269
157793,157863,116772,116854
143751,143821,115272,115354
92168,92238,90524,90606
125958,126028,110168,110250
108236,108306,116479,116561
147381,147451,100696,100778
149910,149980,143052,143134
156121,156191,102466,102548
121415,121485,140179,140261
102436,102506,104945,105027
121024,121094,131486,131568
90456,90526,138615,138697
136966,137036,96891,96973
131656,131726,80915,80997
150695,150765,69069,69151
116109,116179,72718,72800
102956,103026,140229,140311
134988,135058,75125,75207
139641,139711,148029,148111
153337,153407,141243,141325
98526,98596,88587,88669
157338,157408,91455,91537
127016,127086,92494,92576
110644,110714,145109,145191
110876,110946,94717,94799
146821,146891,111698,111780
97262,97332,99232,99314
116531,116601,96875,96957
134018,134088,79379,79461
115478,115548,80659,80741
103737,103807,74174,74256
158327,158397,109480,109562
106931,107001,91045,91127
140424,140494,128179,128261
141756,141826,70727,70809
111491,111561,120564,120646
133862,133932,101390,101472
142717,142787,106848,106930
118051,118121,120965,121047
138350,138420,131050,131132
121645,121715,73260,73342
96873,96943,80491,80573
109431,109501,144595,144677
91429,91499,115924,116006
115880,115950,150345,150427
115834,115904,105792,105874
112468,112538,86273,86355
111012,111082,106975,107057
95225,95295,104078,104160
158365,158435,76345,76427
120156,120226,106744,106826
151237,151307,150513,150595
128276,128346,73289,73371
134308,134378,121259,121341
141547,141617,82885,82967
89975,90045,136394,136476
137286,137356,79170,79252
117990,118060,146717,146799
140476,140546,102165,102247
98161,98231,133089,133171
94558,94628,116902,116984
144064,144134,150137,150219
119208,119278,127746,127828
116038,116108,97649,97731
118458,118528,129680,129762
115592,115662,73788,73870
111253,111323,109322,109404
153737,153807,118829,118911
110030,110100,120282,120364
119536,119606,117564,117646
122430,122500,136932,137014
135616,135686,142938,143020
132857,132927,107133,107215
141718,141788,106193,106275
138236,138306,103122,103204
111880,111950,129315,129397
152932,153002,116787,116869
95817,95887,95058,95140
134453,134523,124619,124701
139518,139588,119960,120042
112847,112917,118495,118577
158026,158096,133275,133357
98527,98597,92637,92719
152217,152287,118681,118763
161075,161145,125294,125376
139235,139305,69559,69641
115464,115534,100954,101036
154330,154400,93923,94005
92838,92908,93317,93399
103078,103148,129184,129266
114275,114345,94264,94346
135612,135682,134069,134151
101102,101172,95595,95677
123111,123181,124080,124162
110737,110807,104511,104593
104762,104832,148519,148601
99775,99845,69194,69276
116194,116264,99524,99606
109471,109541,120213,120295
159765,159835,96014,96096
91805,91875,137960,138042
109498,109568,143351,143433
105531,105601,68295,68377
126861,126931,70554,70636
149764,149834,147195,147277
98395,98465,113134,113216
105758,105828,122864,122946
119476,119546,140175,140257
148770,148840,68590,68672
137357,137427,145973,146055
115412,115482,107077,107159
128512,128582,148452,148534
94152,94222,132762,132844
115298,115368,99494,99576
121034,121104,89649,89731
133034,133104,94592,94674
115466,115536,144341,144423
134799,134869,79835,79917
118875,118945,85412,85494
134690,134760,109863,109945
137813,137883,124690,124772
116939,117009,87609,87691
116172,116242,90913,90995
101010,101080,133695,133777
138602,138672,100776,100858
116365,116435,131958,132040
134414,134484,72282,72364
124582,124652,118311,118393
159584,159654,102680,102762
136513,136583,136984,137066
135342,135412,128906,128988
157098,157168,132308,132390
103209,103279,89561,89643
150816,150886,80222,80304
141682,141752,112372,112454
122846,122916,149823,149905
160709,160779,144253,144335
109265,109335,109874,109956
95725,95795,147164,147246
112948,113018,150129,150211
161084,161154,103580,103662
144653,144723,119520,119602
161101,161171,83197,83279
99296,99366,93789,93871
156727,156797,85943,86025
90068,90138,117742,117824
124156,124226,87971,88053
155953,156023,115248,115330
89730,89800,95054,95136
128479,128549,68692,68774
117853,117923,97490,97572
98649,98719,131812,131894
123446,123516,93245,93327
130684,130754,102691,102773
90688,90758,133295,133377
134721,134791,128846,128928
104847,104917,124137,124219
96087,96157,74204,74286
158234,158304,76744,76826
101564,101634,106696,106778
112360,112430,100190,100272
91418,91488,111387,111469
93919,93989,77859,77941
112645,112715,81303,81385
126829,126899,115954,116036
136863,136933,83211,83293
144858,144928,96259,96341
113538,113608,104121,104203
155287,155357,117772,117854
132272,132342,104842,104924
143510,143580,98293,98375
121339,121409,146768,146850
136504,136574,87142,87224
131736,131806,146550,146632
116433,116503,75759,75841
125508,125578,137203,137285
106536,106606,73338,73420
150025,150095,141018,141100
116657,116727,133658,133740
129331,129401,93557,93639
118614,118684,134837,134919
93563,93633,132599,132681
125770,125840,140931,141013
114875,114945,85406,85488
93161,93231,69001,69083
141373,141443,71360,71442
117172,117242,76742,76824
125092,125162,98958,99040
98376,98446,90077,90159
152898,152968,144377,144459
149682,149752,93171,93253
112061,112131,74105,74187
125080,125150,98982,99064
154181,154251,68811,68893
94209,94279,100413,100495
111085,111155,149523,149605
143000,143070,79190,79272
117047,117117,79197,79279
136268,136338,141404,141486
116415,116485,149343,149425
149338,149408,94621,94703
147797,147867,92230,92312
122623,122693,131740,131822
159416,159486,126816,126898
128759,128829,123722,123804
98355,98425,104548,104630
134828,134898,146246,146328
127099,127169,114515,114597
135862,135932,73646,73728
139564,139634,74785,74867
147165,147235,104012,104094
132101,132171,140064,140146
102916,102986,98644,98726
144140,144210,131791,131873
101738,101808,112610,112692
133045,133115,90805,90887
133588,133658,116347,116429
119183,119253,140222,140304
153095,153165,71288,71370
108192,108262,116002,116084
95890,95960,92245,92327
101598,101668,126823,126905
111124,111194,138665,138747
132117,132187,81307,81389
154878,154948,91303,91385
123517,123587,77069,77151
141698,141768,105018,105100
120850,120920,139465,139547
123533,123603,123460,123542
125900,125970,74861,74943
121359,121429,103675,103757
155130,155200,149205,149287
154930,155000,136210,136292
153623,153693,93794,93876
107082,107152,84648,84730
138553,138623,109255,109337
157837,157907,83648,83730
123204,123274,108024,108106
113160,113230,125627,125709
116662,116732,125418,125500
96870,96940,85361,85443
93807,93877,132742,132824
121566,121636,99544,99626
145203,145273,130072,130154
118820,118890,119135,119217
150395,150465,106101,106183
107074,107144,101527,101609
120456,120526,107166,107248
143702,143772,79957,80039
103659,103729,84090,84172
120816,120886,122258,122340
99555,99625,135642,135724
153764,153834,136883,136965
160036,160106,78390,78472
157460,157530,104012,104094
93704,93774,82118,82200
145998,146068,102137,102219
134562,134632,141703,141785
94698,94768,86835,86917
148025,148095,77320,77402
142812,142882,68295,68377
134292,134362,128597,128679
132277,132347,116238,116320
99975,100045,136544,136626
115041,115111,96616,96698
89656,89726,136253,136335
118777,118847,114113,114195
109552,109622,107525,107607
100203,100273,149071,149153
145371,145441,115865,115947
118750,118820,130345,130427
130772,130842,86386,86468
102844,102914,123907,123989
94344,94414,144193,144275
100148,100218,132695,132777
99164,99234,86803,86885
105612,105682,73416,73498
125034,125104,98316,98398
137313,137383,122748,122830
127516,127586,110319,110401
107522,107592,103669,103751
154426,154496,133084,133166
99831,99901,72071,72153
160420,160490,132246,132328
151378,151448,79963,80045
114618,114688,102228,102310
150080,150150,112667,112749
152582,152652,140799,140881
141739,141809,99384,99466
129910,129980,141434,141516
113675,113745,74355,74437
145603,145673,88243,88325
141579,141649,140543,140625
144698,144768,116529,116611
95105,95175,142154,142236
153189,153259,131943,132025
119433,119503,141456,141538
95350,95420,99186,99268
120504,120574,105319,105401
104165,104235,78772,78854
124747,124817,118746,118828
112878,112948,117834,117916
160757,160827,115878,115960
106796,106866,84554,84636
121271,121341,114293,114375
129557,129627,75601,75683
101320,101390,145086,145168
123062,123132,95813,95895
141637,141707,122733,122815
124711,124781,145847,145929
107717,107787,145500,145582
149994,150064,139780,139862
129371,129441,146998,147080
132362,132432,123311,123393
139290,139360,113966,114048
114481,114551,105480,105562
148923,148993,112570,112652
119243,119313,129222,129304
160433,160503,117965,118047
117590,117660,76708,76790
95855,95925,90925,91007
131017,131087,114485,114567
144272,144342,90946,91028
132557,132627,134552,134634
